"","pop","abs","tempo","conc","experiment"
"269","REF",0.286,"0","10","EXP3"
"270","C76",0.222,"0","10","EXP3"
"271","C67",0.218,"0","10","EXP3"
"272","C68",0.223,"0","10","EXP3"
"273","REF",0.221,"0","50","EXP3"
"274","C76",0.228,"0","50","EXP3"
"275","C67",0.222,"0","50","EXP3"
"276","C68",0.216,"0","50","EXP3"
"277","REF",0.212,"0","75","EXP3"
"278","C76",0.221,"0","75","EXP3"
"279","C67",0.228,"0","75","EXP3"
"280","C68",0.216,"0","75","EXP3"
"281","REF",0.208,"0","100","EXP3"
"282","C76",0.225,"0","100","EXP3"
"283","C67",0.232,"0","100","EXP3"
"284","C68",0.216,"0","100","EXP3"
"285","REF",0.21,"0","150","EXP3"
"286","C76",0.209,"0","150","EXP3"
"287","C67",0.196,"0","150","EXP3"
"288","C68",0.168,"0","150","EXP3"
"289","REF",0.266,"72","0","EXP1"
"290","C76",0.201,"72","0","EXP1"
"291","C67",0.147,"72","0","EXP1"
"292","C68",0.144,"72","0","EXP1"
"293","REF",0.18,"72","10","EXP1"
"294","C76",0.169,"72","10","EXP1"
"295","C67",0.148,"72","10","EXP1"
"296","C68",0.153,"72","10","EXP1"
"297","REF",0.153,"72","50","EXP1"
"298","C76",0.154,"72","50","EXP1"
"299","C67",0.147,"72","50","EXP1"
"300","C68",0.147,"72","50","EXP1"
"301","REF",0.149,"72","75","EXP1"
"302","C76",0.149,"72","75","EXP1"
"303","C67",0.146,"72","75","EXP1"
"304","C68",0.148,"72","75","EXP1"
"305","REF",0.15,"72","100","EXP1"
"306","C76",0.146,"72","100","EXP1"
"307","C67",0.145,"72","100","EXP1"
"308","C68",0.147,"72","100","EXP1"
"309","REF",0.139,"72","150","EXP1"
"310","C76",0.146,"72","150","EXP1"
"311","C67",0.14,"72","150","EXP1"
"312","C68",0.144,"72","150","EXP1"
"313","REF",0.462,"72","0","EXP2"
"314","C76",0.449,"72","0","EXP2"
"315","C67",0.42,"72","0","EXP2"
"316","C68",0.4,"72","0","EXP2"
"317","REF",0.475,"72","10","EXP2"
"318","C76",0.305,"72","10","EXP2"
"319","C67",0.325,"72","10","EXP2"
"320","C68",0.342,"72","10","EXP2"
"321","REF",0.355,"72","50","EXP2"
"322","C76",0.315,"72","50","EXP2"
"323","C67",0.312,"72","50","EXP2"
"324","C68",0.306,"72","50","EXP2"
"325","REF",0.324,"72","75","EXP2"
"326","C76",0.268,"72","75","EXP2"
"327","C67",0.24,"72","75","EXP2"
"328","C68",0.294,"72","75","EXP2"
"329","REF",0.309,"72","100","EXP2"
"330","C76",0.21,"72","100","EXP2"
"331","C67",0.198,"72","100","EXP2"
"332","C68",0.276,"72","100","EXP2"
"333","REF",0.251,"72","150","EXP2"
"334","C76",0.197,"72","150","EXP2"
"335","C67",0.186,"72","150","EXP2"
"336","C68",0.2,"72","150","EXP2"
"337","REF",0.399,"72","0","EXP3"
"338","C76",0.331,"72","0","EXP3"
"339","C67",0.297,"72","0","EXP3"
"340","C68",0.281,"72","0","EXP3"
"341","REF",0.284,"72","10","EXP3"
"342","C76",0.17,"72","10","EXP3"
"343","C67",0.17,"72","10","EXP3"
"344","C68",0.172,"72","10","EXP3"
"345","REF",0.15,"72","50","EXP3"
"346","C76",0.152,"72","50","EXP3"
"347","C67",0.171,"72","50","EXP3"
"348","C68",0.162,"72","50","EXP3"
"349","REF",0.149,"72","75","EXP3"
"350","C76",0.149,"72","75","EXP3"
"351","C67",0.172,"72","75","EXP3"
"352","C68",0.164,"72","75","EXP3"
"353","REF",0.144,"72","100","EXP3"
"354","C76",0.165,"72","100","EXP3"
"355","C67",0.178,"72","100","EXP3"
"356","C68",0.162,"72","100","EXP3"
"357","REF",0.148,"72","150","EXP3"
"358","C76",0.17,"72","150","EXP3"
"359","C67",0.169,"72","150","EXP3"
"360","C68",0.146,"72","150","EXP3"
"361","REF",0.322,"96","0","EXP1"
"362","C76",0.296,"96","0","EXP1"
"363","C67",0.191,"96","0","EXP1"
"364","C68",0.168,"96","0","EXP1"
"365","REF",0.217,"96","10","EXP1"
"366","C76",0.209,"96","10","EXP1"
"367","C67",0.181,"96","10","EXP1"
"368","C68",0.183,"96","10","EXP1"
