X,pop,abs,tempo,conc,experiment,abs_norm,n_parasitos,n_base
176,C68,0.3,48,10,EXP2,0.31614285714285717,474469.04654315405,500000
177,REF,0.315,48,50,EXP2,0.36057142857142854,436806.65610142634,500000
178,C76,0.208,48,50,EXP2,0.2784285714285714,373524.88455618266,500000
179,C67,0.213,48,50,EXP2,0.2857142857142857,372750,500000
180,C68,0.226,48,50,EXP2,0.2865714285714286,394317.0488534397,500000
181,REF,0.269,48,75,EXP2,0.3142857142857143,427954.54545454547,500000
182,C76,0.196,48,75,EXP2,0.24457142857142858,400700.9345794392,500000
183,C67,0.18,48,75,EXP2,0.2392857142857143,376119.4029850746,500000
184,C68,0.221,48,75,EXP2,0.2654285714285714,416307.8579117331,500000
185,REF,0.222,48,100,EXP2,0.2695714285714286,411764.70588235295,500000
186,C76,0.165,48,100,EXP2,0.213,387323.94366197183,500000
187,C67,0.168,48,100,EXP2,0.21114285714285716,397834.91204330174,500000
188,C68,0.216,48,100,EXP2,0.2672857142857143,404061.9989310529,500000
189,REF,0.205,48,150,EXP2,0.23399999999999999,438034.18803418806,500000
190,C76,0.164,48,150,EXP2,0.19557142857142856,419284.1490138788,500000
191,C67,0.165,48,150,EXP2,0.19357142857142856,426199.26199261995,500000
192,C68,0.2,48,150,EXP2,0.20085714285714285,497866.2873399716,500000
193,REF,0.233,48,0,EXP3,0.31871428571428573,365531.1519497983,500000
194,C76,0.184,48,0,EXP3,0.28785714285714287,319602.9776674938,500000
195,C67,0.162,48,0,EXP3,0.2592857142857143,312396.69421487604,500000
196,C68,0.159,48,0,EXP3,0.256,310546.875,500000
197,REF,0.192,48,10,EXP3,0.2601428571428571,369028.00658978586,500000
198,C76,0.169,48,10,EXP3,0.19485714285714287,433651.02639296185,500000
199,C67,0.165,48,10,EXP3,0.1915714285714286,430648.76957494405,500000
200,C68,0.163,48,10,EXP3,0.19914285714285715,409253.94548063126,500000
201,REF,0.168,48,50,EXP3,0.19085714285714286,440119.7604790419,500000
202,C76,0.174,48,50,EXP3,0.197,441624.36548223346,500000
203,C67,0.167,48,50,EXP3,0.194,430412.3711340206,500000
204,C68,0.161,48,50,EXP3,0.18971428571428572,424322.2891566265,500000
205,REF,0.149,48,75,EXP3,0.18528571428571428,402081.7270624518,500000
206,C76,0.171,48,75,EXP3,0.19642857142857142,435272.7272727273,500000
207,C67,0.171,48,75,EXP3,0.19742857142857143,433068.017366136,500000
208,C68,0.165,48,75,EXP3,0.18971428571428572,434864.4578313253,500000
209,REF,0.153,48,100,EXP3,0.18042857142857144,423990.49881235155,500000
210,C76,0.173,48,100,EXP3,0.196,441326.53061224485,500000
211,C67,0.174,48,100,EXP3,0.1997142857142857,435622.3175965665,500000
212,C68,0.163,48,100,EXP3,0.18885714285714286,431543.1164901664,500000
213,REF,0.172,48,150,EXP3,0.18485714285714286,465224.11128284386,500000
214,C76,0.172,48,150,EXP3,0.193,445595.8549222798,500000
